Location,Latitude,Longitude
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"NB-52B Carrier, Edwards AFB, California, USA",34.905,-117.884
"SLV LP, Satish Dhawan Space Centre, India",13.72,80.23
"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"SLC-N, Tanegashima Space Center, Japan",30.4,130.97
"Site 131/29, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 132/2, Plesetsk Cosmodrome, Russia",62.925,40.578
"ELA-1, Guiana Space Centre, French Guiana, France",5.2123752,-52.7738833
"Site 90/19, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 110/37, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 86/1, Kapustin Yar, Russia",48.575634,45.766895
"SM Launch Tab, San Marco Launch Platform, Kenya",-2.938,40.214
"Site 250, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"LC-13, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"ELD, Guiana Space Centre, French Guiana, France",5.2123752,-52.7738833
"LC-576A1, Vandenberg AFB, California, USA",34.742,-120.572
"LA-5B, RAAF Woomera Range Complex, Australia",-30.955,136.532
"Site 161/35, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"LC-576A2, Vandenberg AFB, California, USA",34.742,-120.572
"Santa Rita 2, San Marco Launch Platform, Kenya",-2.938,40.214
"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",40.965,100.282
"Site 191/66, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 110/38, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"LC-34, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"Site 41/15, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"Site 162, Baikonur Cosmodrome, Kazakhstan",45.92,63.342
"LC-12, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"LC-576B3, Vandenberg AFB, California, USA",34.742,-120.572
"Brigitte, Hammaguir, Algeria, France",30.863,-3.078
"LC-19, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"LC-14, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"SLC-20, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"Mayak-2, Kapustin Yar, Russia",48.575634,45.766895
"SLC-5, Vandenberg AFB, California, USA",34.742,-120.572
"LA-3, Wallops Flight Facility, Virginia, USA",37.939,-75.466
"SLC-1E (75-3-5), Vandenberg AFB, California, USA",34.742,-120.572
"SLC-2E (75-1-1), Vandenberg AFB, California, USA",34.742,-120.572
"SLC-1W (75-3-4), Vandenberg AFB, California, USA",34.742,-120.572
"LC-18B, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"LC-5, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"LC-18A, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"LC-11, Cape Canaveral AFS, Florida, USA",28.396,-80.605
"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",34.121,-119.121
"LC-26A, Cape Canaveral AFS, Florida, USA",28.396,-80.605
